sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.015;2;;180rounds;Yes;No;2;0.29693;1.00000;0.00000;0.66723;1.29693;TMFAgent@0;Atlas@1;1.0;0.2969260373579895;1.0;0.2969260373579895;0.0;0.0;0.0;0.0;1.0;0.2969260373579895;party1_utility.xml;party2_utility.xml
0.410;180;;180rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;TMFAgent@2;TMFAgent@3;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;0.0;0.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
0.268;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;TMFAgent@4;AgentTRP@5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.055;88;;180rounds;Yes;No;2;0.34751;0.86083;0.13118;0.58598;1.20835;AgentTRP@6;AgentTRP@7;0.8608333333333335;0.3475134902440972;0.8608333333333335;0.3475134902440972;0.0;0.0;0.0;0.0;0.8608333333333335;0.3475134902440972;party1_utility.xml;party2_utility.xml
;2;Session genius.core.session.Session@4919bad5 failed: Failed to execute protocol: Execution failed of Atlas@8:java.lang.NullPointerException: Cannot invoke "genius.core.actions.ActionWithBid.getBid()" because "this.actionOfPartner" is null: Cannot invoke "genius.core.actions.ActionWithBid.getBid()" because "this.actionOfPartner" is null:[agents.anac.y2014.Atlas.Atlas, boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_e_k_min_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_b_a-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t];180rounds;No;;0;;;;;;Atlas;boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_e_k_min_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_b_a-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
;2;Session genius.core.session.Session@3d745d3b failed: Failed to execute protocol: Execution failed of Atlas@10:java.lang.NullPointerException: Cannot invoke "genius.core.actions.ActionWithBid.getBid()" because "this.actionOfPartner" is null: Cannot invoke "genius.core.actions.ActionWithBid.getBid()" because "this.actionOfPartner" is null:[agents.anac.y2014.Atlas.Atlas, agents.anac.y2014.AgentTRP.AgentTRP];180rounds;No;;0;;;;;;Atlas;AgentTRP;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
;2;Session genius.core.session.Session@2370bc93 failed: Failed to execute protocol: Execution failed of Atlas@12:java.lang.NullPointerException: Cannot invoke "genius.core.actions.ActionWithBid.getBid()" because "this.actionOfPartner" is null: Cannot invoke "genius.core.actions.ActionWithBid.getBid()" because "this.actionOfPartner" is null:[agents.anac.y2014.Atlas.Atlas, agents.anac.y2013.AgentKF.AgentKF];180rounds;No;;0;;;;;;Atlas;AgentKF;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
0.414;27;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_e_k_min_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_b_a-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@14;AgentKF@15;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.0;0.0;0.0;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.004;6;;180rounds;Yes;No;2;0.31340;0.98750;0.00000;0.64764;1.30090;boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_e_k_min_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_b_a-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@16;AgentTRP@17;0.9874999999999999;0.31340277591324467;0.9874999999999999;0.31340277591324467;0.9874999999999999;0.0;0.0;0.0;0.9874999999999999;0.31340277591324467;party1_utility.xml;party2_utility.xml
0.002;2;;180rounds;Yes;No;2;0.29693;1.00000;0.00000;0.66723;1.29693;AgentKF@18;Atlas@19;1.0;0.2969260373579895;1.0;0.2969260373579895;0.0;0.0;0.0;0.0;1.0;0.2969260373579895;party1_utility.xml;party2_utility.xml
0.223;37;;180rounds;Yes;No;2;0.72167;0.97619;0.00000;0.07924;1.69786;AgentTRP@20;AgentKF@21;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.0;0.0;0.0;0.0;0.7216666666666667;0.9761884907982836;party1_utility.xml;party2_utility.xml
;2;Session genius.core.session.Session@4be7eec2 failed: Failed to execute protocol: Execution failed of Atlas@22:java.lang.NullPointerException: Cannot invoke "genius.core.actions.ActionWithBid.getBid()" because "this.actionOfPartner" is null: Cannot invoke "genius.core.actions.ActionWithBid.getBid()" because "this.actionOfPartner" is null:[agents.anac.y2014.Atlas.Atlas, agents.anac.y2014.Atlas.Atlas];180rounds;No;;0;;;;;;Atlas;Atlas;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
6.980;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;AgentKF@24;AgentKF@25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
;2;Session genius.core.session.Session@4bff2cbb failed: Failed to execute protocol: Execution failed of Atlas@26:java.lang.NullPointerException: Cannot invoke "genius.core.actions.ActionWithBid.getBid()" because "this.actionOfPartner" is null: Cannot invoke "genius.core.actions.ActionWithBid.getBid()" because "this.actionOfPartner" is null:[agents.anac.y2014.Atlas.Atlas, agents.anac.y2013.TMFAgent.TMFAgent];180rounds;No;;0;;;;;;Atlas;TMFAgent;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
0.001;2;;180rounds;Yes;No;2;0.41609;0.78833;0.20252;0.51248;1.20442;AgentTRP@28;Atlas@29;0.7883333333333333;0.41609132499935997;0.7883333333333333;0.41609132499935997;0.0;0.0;0.0;0.0;0.7883333333333333;0.41609132499935997;party1_utility.xml;party2_utility.xml
0.001;2;;180rounds;Yes;No;2;0.29693;1.00000;0.00000;0.66723;1.29693;boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_e_k_min_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_b_a-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@30;Atlas@31;1.0;0.2969260373579895;1.0;0.2969260373579895;1.0;0.0;0.0;0.0;1.0;0.2969260373579895;party1_utility.xml;party2_utility.xml
0.058;7;;180rounds;Yes;No;2;0.31340;0.98750;0.00000;0.64764;1.30090;AgentKF@32;AgentTRP@33;0.9874999999999999;0.31340277591324467;0.9874999999999999;0.31340277591324467;0.0;0.0;0.0;0.0;0.9874999999999999;0.31340277591324467;party1_utility.xml;party2_utility.xml
2.673;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;AgentKF@34;TMFAgent@35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.011;20;;180rounds;Yes;No;2;0.77250;0.91209;0.01483;0.02068;1.68459;AgentTRP@36;boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_e_k_min_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_b_a-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@37;0.7725;0.9120887338395958;0.7725;0.9120887338395958;0.0;0.9120887338395958;0.0;0.0;0.7725;0.9120887338395958;party1_utility.xml;party2_utility.xml
0.142;128;;180rounds;Yes;No;2;0.29693;1.00000;0.00000;0.66723;1.29693;TMFAgent@38;boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_e_k_min_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_b_a-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@39;1.0;0.2969260373579895;1.0;0.2969260373579895;0.0;0.2969260373579895;0.0;0.0;1.0;0.2969260373579895;party1_utility.xml;party2_utility.xml
3.021;180;;180rounds;Yes;No;2;0.78500;0.90411;0.00000;0.02445;1.68911;TMFAgent@40;AgentKF@41;0.7850000000000001;0.9041140069845697;0.7850000000000001;0.9041140069845697;0.0;0.0;0.0;0.0;0.7850000000000001;0.9041140069845697;party1_utility.xml;party2_utility.xml
0.097;62;;180rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_e_k_min_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_b_a-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@42;TMFAgent@43;0.6583333333333333;1.0;0.6583333333333333;1.0;0.6583333333333333;0.0;0.0;0.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
0.419;27;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;AgentKF@44;boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_e_k_min_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_b_a-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@45;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.0;0.8564909885811369;0.0;0.0;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.145;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;AgentTRP@46;TMFAgent@47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.013;27;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_e_k_min_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_b_a-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@48;boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_e_k_min_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_b_a-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@49;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.0;0.0;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
